Asin,ProductName,UserName,Rating,Subject,ReviewDate,Review
B07L1GWR66,Watch A,John ZambranoJohn Zambrano,4.0 out of 5 stars4.0 out of 5 stars,4.0 out of 5 starsGreat value for a budget smartwatch!,3-Apr-23,"This is my first experience with a smartwatch, so I can’t make any comparisons to other popular smartwatches. But with that said, I can tell you that the S3 has quite a bit to offer for the price, but in my review I’m only going to touch on the features and apps that were most useful to me after using the S3 for a couple of weeks.𝗣𝗿𝗼𝘀• Price: About $50.00 or less if you catch it on sale (a fraction of what you’ll pay for a smartwatch from Apple, Samsung, Fitbit, etc.).• Fairly easy to use with a variety of built-in apps.• Comfortable to wear.• Very good battery life.𝗖𝗼𝗻𝘀• The companion app for Android & IOS needs improvement.• Minor functionality issues with some of the apps.𝗚𝗲𝘁𝘁𝗶𝗻𝗴 𝗦𝘁𝗮𝗿𝘁𝗲𝗱: The S3 comes packaged in an attractive box and includes a watch strap, charging cable, and a small, printed user manual. The printed manual will prompt you to install the companion app (Tozo Health) on your mobile device where you are stepped through a setup routine that is pretty straightforward: creating an account for Tozo Health, pairing the S3 with your device, and entering your physical stats (i.e. height, weight, and age) – this data is used as a basis for some of the included watch apps. I had no problems paring the watch with my Samsung phone.𝗛𝗮𝗿𝗱𝘄𝗮𝗿𝗲: Overall the build quality seems good: the watch is mostly plastic although I’m not certain about the watch crystal covering the screen (it could be glass or a high-quality acrylic material). The watch strap appears to be made of a soft, rubber-like material that was comfortable on my wrist (I could wear the watch for hours at a time without it becoming uncomfortable) – I also appreciated that the strap pins have these little protrusions that allow you to retract the pins with your fingers for inserting the strap into the watch itself (no need to use a knife or a spring bar tool – a very nice touch). I also appreciate that the watch is waterproof (“IP68 waterproof” according to the online product description) as I sweat profusely when exercising (especially outdoors in the Central Texas heat)! The S3’s screen can be controlled by touch and is quite responsive. The watch crown also has some functionality when you press it, although it does not appear to do anything when you twist it around (at least not in my experience – perhaps this will change with future updates). I also found the screen to be bright enough for viewing outside in bright daylight. The S3 comes with a charging cable that is different from anything else I’ve seen before: one end plugs into a standard USB socket (computer or USB charger) and the other end connects to the bottom of the watch via two metal contact points that are held in place with tiny magnets on the end of the charging cable.  I’m not sure why Tozo went this route instead of using a standard USB-C connector – my concern here is that if the charging cable fails then you will have to obviously obtain another one from Tozo. In any case, I didn’t have any issues charging the watch with this cable and it didn’t take very long to get a full charge which lasted well over a week (with a mix of casual usage and running the exercising apps) before needing to charge it again.𝗪𝗮𝘁𝗰𝗵 𝗔𝗽𝗽𝘀: The S3 has built in apps for various exercise routines, health monitoring (e.g. heart rate, oxygen, sleep, stress level), weather, music playback on your mobile phone, making calls on your mobile phone and viewing text messages/notifications, and other utility apps (such as an alarm, timer, and stopwatch). There is also a “Find Phone” feature that will ring your phone in case you misplaced it, but this only works if the Tozo Health app is running on the phone, so it may only always be useful. A calculator app would have been nice to have. Oh, and did I mention that the S3 also functions as a wrist watch? 😊I do a lot of walking (both indoors and outdoors), so the apps for these activities were the ones that I used the most. When walking or running, the S3 will calculate and record your steps, calories burned, distance, average pace, average heart rate, and other metrics as well. When used outdoors with the Tozo Health app it should show you your location (based on GPS data) when the app is configured to use Google maps, but I just couldn’t get this feature to work even when giving the app all the permissions it required on my phone. If you choose not to take your phone with you while walking or running then the watch will still display and record your exercise data then later sync this data with your phone automatically when you reopen the app. Interestingly, I found that the outdoor walking app seems to overcalculate my steps. I tested this several times by walking to my neighborhood mailbox which is about 210 steps one way from the front door of my house (about 420 steps round trip, give or take a couple of steps). The watch consistently calculated this anywhere between 450 and 460 steps. My guess is that the S3 is calculating an average step size based on my physical height that I entered when setting up the watch. I tend to take larger-than-average steps when walking, so perhaps that is accounting for the difference. I also noticed that the watch didn’t seem to accurately monitor my activity when walking on my treadmill – I couldn’t figure this out until I read the following in the manual: “when doing outdoor sports without continuous arm swing , such as riding, please turn on the exercise interface in the app, which will record your exercise data more accurately”. So I take this to mean that the watch relies on detecting arm movement when walking or running – this is a problem for me because I always keep my arms stationary on the treadmill handrails, but the solution provided in the manual does seem to work as described, so overall this is just a minor gripe.The music control app worked fine for me but not with every music app that I tested on my phone (the S3 was able to control two of the three music player apps that I have installed). And using the phone call app on the S3 was a mixed bag: I was able to answer incoming calls using the watch and initiate outgoing calls using the dial keypad on the watch, but I could not initiate outgoing calls when selecting any of the 10 contacts that I imported into the watch from my phone (the S3 would act like it was dialing the contact but would then quit and go back to the contact list). I really liked the heart rate monitor and it seems fairly accurate (I tested this against taking my own pulse manually) and the watch will give you a constant average heart rate while exercising – very useful to ensure that you don’t go over your max heart rate for your age.𝗖𝘂𝘀𝘁𝗼𝗺𝗶𝘇𝗮𝘁𝗶𝗼𝗻: My favorite option here were the watch faces that you can display on the S3. There are several built into the watch that you can instantly switch between as well as many others that you can import from the Tozo Health app, however, I was disappointed that the S3 only seems to allow you to retain one imported watch face from the app (i.e. it only seems to keep the last watch face that you import). I would like to see this improved as well as having more watch faces added to the app (animated watch faces would be nice).𝗖𝗼𝗻𝗰𝗹𝘂𝘀𝗶𝗼𝗻: Overall I really like the S3 (especially at its price point) and have no problems recommending it as a budget smartwatch, but there is room for improvement and some bugs to be worked out, especially with the companion app since the S3 relies heavily on it. I’m hoping that Tozo continues to develop its line of smartwatches which I think are a great value.𝗨𝗣𝗗𝗔𝗧𝗘 𝟬𝟵-𝟭𝟲-𝟮𝟯: I recently noticed that an update for the Tozo Health app was available in the Google Play store, so I installed it and found that the Google map feature now works in the app when walking or running outdoors. I still cannot make outgoing calls on my phone using the contacts that I imported into the watch, but at least it seems that Tozo is being responsive to updating the app, so I'm hopeful that some of these other minor quirks will be worked out in future updates."
B07L1GWR66,Watch A,KenatugKenatug,5.0 out of 5 stars5.0 out of 5 stars,5.0 out of 5 starsTerrific smartwatch and an amazing value,4-Sep-23,"I have been a customer for several of Tozo’s excellent earbuds, and was offered the opportunity by Tozo to try out their S3 smartwatch. I took them up on their offer and would like to offer my take on the watch and how it compares to another smartwatch I have, the Fitbit Versa 3.Let me start out by saying that the Tozo S3 is an amazing deal. At a price that is a fraction of the price of the Fitbit, it is hard to believe that Tozo can put out a watch of this quality at the price at which they are offering it. While there are a few things that the Fitbit can do that the Tozo cannot, for the most part the Tozo can do everything most people are going to need.Here are some positives and negatives:POSITIVES:1. The battery life has been great. It is at least double what I get from the Fitbit. I know there are a lot of factors that influence battery life, and there are some things that the Fitbit can do that impact battery life that are not an option on the, such as the ability to have a power saving setting that still shows the time constantly. I do use that setting, and I’m sure that impacts the Fitbit battery life. But that feature is probably not needed by most people anyway, and the battery life on the Tozo has been very impressive.2. The display is crisp and clear and set up logically. The physical button on the Tozo makes it easy to get into the menu system. Although it does not appear that you can tap the screen on the Tozo to wake it up like you can on the Fitbit, the wrist action setting works well.3. The app is excellent, and there are lots of option in the app to add many different exercise routines. More than what is available on the Fitbit.4. The Bluetooth phone connection works very well, and I was able to place and answer calls without a problem. Not unexpectedly, the sound is tinny due to the tiny speaker involved, but it was still clear and very usable.5. They have many nice watch faces available for download for free, and I found one that shows all the information on the main screen. It’s nice that they give you so many options.6. The Bluetooth connection was easy to make and works well. No problem making or maintaining the Bluetooth connection.NEGATIVES:1. I like to keep track of my heart rate, and while the screen does show the heart rate on the different exercise routines, the heartbeat readout is very small, whereas it is much larger and easier to see on the Fitbit. It is not easy to see without having to bring the watch closer to you. On a personal level this is probably the biggest complaint I have with the watch, although it would not stop me from buying it. If Tozo sees this review I hope they will consider increasing the size of the heartbeat readout, since it appears that there is plenty of room to do that.2. There is no GPS. I am listing this as a negative here only because this could be an issue for some people who are walking outside and want an accurate distance calculation beyond what the watch can do on its own. The Fitbit does have GPS. Of course, I’m sure that is one of the things that accounts for the big difference in price. For me the lack of GPS is not an issue at all, since my exercise is all done indoors. If that is your situation, then you would just be paying for something you don’t really need with the Fitbit.3. The Fitbit has a read out that shows what they call “Active Zone Minutes”, which takes into account your heartbeat level to determine how good a workout you are getting. I like that because I can tell at a glance how good a workout. While the Tozo does show you what percentage of time you spent in each heart rate zone, it doesn’t have this additional calculation to show you a combined score using what Fitbit calls their “Active Zone Minute” readout. While this is certainly not a dealbreaker by any means, this would be a great addition to the Tozo if they could do it.I don’t want to put this as a positive or negative, but potential purchasers with small wrists should be aware that the watch is fairly large. That, or course, is a positive in terms of the amount of information you can put on the screen, but if you have small wrists (like I do) you might want to consider one of the smaller Tozo smart watches if you plan to wear this all day. I only wear the watch when I am exercising, so it’s not an issue for me, and I like having the larger screen. The watch and the band are both comfortable. Just something to keep in mind if you have small wrists.Overall I think this watch is an incredible value. I don’t know how they can put out a smartwatch this good at this price. As long as you don’t need GPS I would certainly recommend giving this watch a try. I have been impressed with Tozo’s earbuds, and what I found with this smartwatch is consistent with that. I recommend this product highly."
B07L1GWR66,Watch A,jeriscjerisc,5.0 out of 5 stars5.0 out of 5 stars,5.0 out of 5 starsGreat Smart Watch for a Greater Price!! Month After Review!!,5-Jun-23,"I bought this watch a month ago & like to get at least a month under my belt with any new electronic before giving a review.Pro:* Wireless connection is via Bluetooth and has a fairly long range, about 30ft.* Great watch for basic needs sure as making phone calls, getting text & notifications, health info (step counter, heart rate, stress test, blood oxygen level, breathing exercises, sleep tracker & tester).* Phone calls sound really good. There is a small speaker built into side of watch, side opposite of side control button. You can hear person speaking pretty good & speaker has 6 levels of loudness. I have been told I sound better talking with watch than my phone.* Weather app that is pretty accurate & gives you basic weather forecast for current day & 3 days out.* Multiple different backgrounds pre downloaded & also customerizable your any picture you have. I have my 2 dogs on mine & love it!* I don't know the exact battery size but mine lasts about a week on one charge. I wear mine everyday & mess with it on a regular basis. When you do need to charge watch, only takes about an hour or so to charge.* Display is very clear to see & has 5 levels of brightness. Screen is decent size (approx. 1.25"" x 1.25""). I wish it came with screen protector but not a make or break by no means. If you swipe up on the main screen, there is menu that has multiple controls such as brightness adjustment, do not disturb / silence phone, find my phone feature ( your phone will ring like someone is calling), low power mode (power saver for watch) & settings button.* Watch band is silicone & very comfortable for all day wear. Sometimes it is a little difficult to latch but don't take long at all to get use to it.* I have had a few times were the watch got wet & one fully submerged for a sec. The watch still works just fine so I would dare to say that it is water resistant to a certain extent. I would not be worried if I got stuck in the rain with my watch on but remember to remove before you go swimming. Lol!* I can control my music on my phone, car stereo, etc when using music on my phone. I can go forward, backwards, pause & volume.* You can set up reminders & alarms. I can set up drinking water reminder, get up & walk reminder, & many more.* Flashlight button that lights up whole screen bright white. You wouldn't think it's very bright by looking at it, but in complete darkness, it really does help.* The watch comes with a USB charging cable and the charging port on the inside of the watch connects very quickly.* You have full access of your watch through the tozo health app. The app really helps you customize your watch and gives you access to all of the watches features.Cons:*Would be really cool if the watch was totally waterproof but for the price, it is water resistant enough to hold up to most light water situations.* The home band is nice but it would be nice if you could buy different bands.* You would think if it allows you to access music on your phone, sometimes, you could access your songs all the time. Since there is a speaker on your watch, why can't you listen to your music through your watch?* The USB charging cable is fairly short as in a foot. Would be really nice if the cable was at least twice as long. The charging port on the back is magnetic however, the magnets aren't very strong at all. The watch becomes disconnected very easily. Needs stronger magnets or the ability to clamp or plug into the watch.* When the watch does disconnect to your phone due to your phone, being out of range of the watch, would be nice if it would automatically reconnect once you were close to your phone again.* When you get messages that are or include pictures, it would be cool if you could view said pictures on the watch. On the same note, it would be really cool if the watch had a talk to text feature. The watch does have quick reply options that you can program with the app.* The calling button has favorites that you can set up with the app and a dial pad, but it would be really cool if you could also access your contacts from your watch.Well, That is pretty well. Everything I can think of after owning this watch for a full month now. If anything changes, I will definitely put up an update review.Overall I really do like this watch and especially for the price, it really is pretty impressive. I would definitely buy it again and recommend to anyone that is looking for a basic smartwatch with slight upgrades. I Hope this review helps with your decision making and happy bargain hunting to you all!"
B07L1GWR66,Watch A,Kenny AdamKenny Adam,5.0 out of 5 stars5.0 out of 5 stars,5.0 out of 5 starsThis Watch is Phenomenal. It's a great Purchase or Gift.,6-Jul-23,"Personally, all of these features are Awesome, the band even tucks itself away under the other band so it's not sticking itself out, it's hidden, PERFECTLY. I'm most impressed with the Sleep Monitor. I'm very attentive to watching the quality of my sleep patterns and depth of my sleep as well. This watch does it all.Another wonderful feature is the fact that when I'm busy doing something and I receive a phone call or a text, guess what?? I can answer the call/look at the text right away on my watch and don't really have to stop what I'm doing. That's a HUGE plus and a definite step up from the last watch. It's super impressive and vitally important to have the opportunity to answer or decline the call coming in and also to look at that text message and possibly immediately call them to talk or reply right away to the message. It's super AWESOME!!! Thanks so much Tozo!!Now, the Health tracking features that's another huge plus, every watch maker these days is trying to attempt to make this easy for everyone. Tozo is right on top of it too, the Sleep as previously explained is Awesome. Now the walking, standing and calorie burning aspects are excellent for everyone to be able to watch and see where they're at as well. All of the Exercise Option tracking, has an indoor/outdoor walking, running and cycling. Other outdoor activities include the Hiking, Yoga, Dancing and a Stepper. It will basically cover each and every single aspect of your fitness work out. I personally DON'T do everything in the watch, but I do try to do most to see how it tracks and it's pretty darn close to accurate, so I'm Thrilled to monitor everything from my wrist. I also can look at the records of what I've done, simply because it has a record log for me to look at. Even more impressive.Now for my Heart Monitoring, My Blood Oxygen Levels, My Breathing and My Stress Level ... In addition to my Sleep that I previously commented on ... It's Fantastic as well. This watch is just the Best. It's Not too big, it's fitting for either a man, woman or a younger crowd. The others I've seen are larger, heavier and are meant for bigger people. This is totally light weight and AWESOME!!!! Oh, I almost forgot to tell you, adding a different screen design is SIMPLE!!! If I can do it, you can too!!! Thanks again, sorry for the length of this, but I wanted to touch base with you on everything.All in all, I give it a 9.3/10 based upon it being TOTALLY COOL!!!Thanks so much Tozo for keeping up with Technology at its finest. You Are AWESOME at what you do!!!"
B07L1GWR66,Watch A,DrewDrew,5.0 out of 5 stars5.0 out of 5 stars,5.0 out of 5 starsI use it way more than I ever thought I would!,7-Jan-23,"I’ll admit that I have always loved technology and “toys”, however as I’ve aged I have become less impulsive to buy the latest and greatest. Instead, I’m now much more conservative and patient before I make any purchase. As far as smart watch technology is concerned, I’ve been eyeballing and following the evolution of the bigger name fruit 🍎 brand for many years but have never been tempted to invest due to their pricing structure. When I recently saw the Tozo S3 go on sale at a ridiculously affordable price, I took some time to read close to 100 (out of over a 1,000) of solid reviews and made my decision to buy it. All I can say is I’m ecstatic with this purchase! I’m surprised that I use it aa often as I do every day, and also find some of the overnight monitoring features useful like tracking my sleeping patterns (so insightful!). In terms of how I use it during a workday, my number one love is the fact that I can subtly monitor incoming text messages at a quick glance without my actions being obvious to my work colleagues. Previously, I’ve been criticized at meetings for glancing at my iPhone too frequently during inappropriate times and replying to text messages. This watch allows me to see the incoming messages at a glance (most of which do not require an immediate reply) and to stay informed, which is maybe overboard to some, but a necessity to me. Blame it on my personality LOL 😂! And then I reply to the text messages that require a response later on my iPhone when I have a break or spare time. I read one reviewer who said he wished he could respond to the text messages on his watch. To each their own but I am sooooo glad I’m able to monitor the messages and grateful I’m unable to reply. Keeps me “well behaved” and forces me to stay on the down low. Battery life is simply magic. Easily lasts 2-3 days with high usage and charges up FAST! I have zero complaints and am still experimenting with many of the features, hence this is the end of my review. Oh, two last things: I love using the flashlight feature at night when I don’t want to disturb others in the house when I make a late night trip to the bathroom or kitchen, and also love using the alarm which wakes me up with vibration and doesn’t disturb anyone else. This is far from a complete comprehensive review, as I’ve still yet to try out all of the features but so far so good. Everything I’ve tried works the way it should and I’m happy with this bargain priced smart watch that is chockful of features!"
B07L1GWR66,Watch A,Josh,4.0 out of 5 stars,4.0 out of 5 starsIt sure is a watch,8-Mar-23,"I'll be honest, I only grabbed a smart watch because I was in the market for something that didn't run out of sync with real time. I figured grabbing something cheap would suit my needs and for the most part that has been true. I do have a few gripes though, so I figure I'll outline them here.Battery life is far from the advertised 7-10 days that is stated in the description of this listing. In my experience, I've charged the watch to 100% (which admittedly is very fast), gone to work, and after a 12 hour work day the battery ends at roughly 25%. With a little tinkering, specifically lowering the screen brightness, I was able to achieve 45% battery life by the end of the day. Unless you're willing to disable the activation gesture and run the watch at minimum brightness, you're only going to get 1-2 days of battery life at best.The app is not horrible. The Google App store lists that no data is sold to third parties which is good. There is an option to not log in and run the app in ""Guest"" mode. You are required to download the app in order to activate the watch.The sleep tracking in my experience does not work. I got it to detect that I was sleeping once, it said I slept for one hour when I slept for eight that night. I've worn the watch to bed for a full week at this point. Rather lackluster.The timer and stopwatch features are disappointing. To get to them, you need to wake the watch, press the button on the side to open the menu, open the Clock menu, select either stopwatch or timer, and run the stopwatch or timer from there. You can not run the stopwatch or timer in tandem; If you leave the screen in which they are running, they close and reset. This is a step back from basic digital watches that allow you to run both at once.The weather data that it gathers is very inaccurate. No option to grab data from other providers. My default phone weather app is much more accurate and reliable. The music page works well for showing media information and allowing control from the wrist, but it is inconsistent when it comes to updating the information at times and it's also very clunky to get to being hidden in the menus.The notification feature is clunky, with some apps (notably Uber) spamming your wrist with vibrations while the app is running. I've opted to disable notifications for the most part because of this. Phone alarms will not be funneled to the watch. Instead, the watch has it's own alarm system, allowing a maximum of 5 alarms. I could not find a reliable way to enable some sort of alarm passthrough. Feels like an odd oversight.The watch face selection is not as helpful as I'd have expected. All seamed to be geared towards showing heartrate and burned calories statistics. Some have step counters on them. None that I have found provide weather information or music information at a glance. A lot of them are visually distracting or not intuitive to read at a glance.The heartrate tracking and step counter are probably the best part about the watch. Both seem reasonably accurate, I haven't had any problems with them. The ""Find My Device"" features are also very useful, allowing you to use either your phone to find your watch or your watch to find your phone. It does this by vibrating and playing sound from either your phone or your watch. Not something many will use often, but definitely a good option to have in your back pocket.Overall, it's functional. Considering the cost, it seems to be worth the value despite it's flaws. It doesn't feel cheaply made. The strap is comfortable, the watch is light yet sturdy. The touch screen functions adequately. The dial on the side serves no function other than to be a button. Spinning it does absolutely nothing, pressing it in is it's only function. The button does have a very satisfying click, and it does not feel weak or flimsy. I have not tested it's alleged IP68 dust and water ratings, so I won't give a definitive review on that front, but I will say the quality of the materials at least makes it plausible on my mind."
B07L1GWR66,Watch A,B. Chang,4.0 out of 5 stars,"4.0 out of 5 starsA speakerphone watch, finally!",9-Oct-23,"I've been a user of a Samsung Gear Neo 2 almost since it came out.  I'm still using it almost 10 years later.  The main reason I got this watch is because I needed a speakerphone.  I'm a mechanic and work on cars a lot and reaching into your pocket when your hands are dirty to answer your phone will cause all kinds of problems.  I've been on a search for a replacement watch for some time.  Tozo introduced their S2 watch several months ago, but it didn't have a speakerphone.  I got it anyway to see if I could live without a speakerphone and I wanted to have something to measure my stress levels.  I liked the watch, but without a speakerphone, it was still missing a key feature.  Now with the release of the S3, I was pumped.  To its credit, the speakerphone works well.  I haven't used it as much as I would like, but the times I have used it, it's been fine.Here are some things that need to improve.The speakerphone will only work if the call is initiated on the watch or when an incoming call is answered on the watch.  If you want to switch to the speakerphone on your watch, it won't connect.The ""contacts"" feature requires you to add people to your contacts list on the app and there's no way to search, so you just have to scroll until you find the name you're looking for.  It doesn't appear that they're in a logical order either, so good luck with that.  You're better off searching on your phone and dialing it on the watch, if it's that important to you.These next features, I've been trying to wear both the S2 watch and the S3 watch at the same time to see the differences.  Here's what I've noticed:The S3 stress measurement is significantly bent toward relaxation.  If I know I'm stressed, the S2 will show elevated stress in the 70s or 80s.  The S3 will show normal 40s and 50s.  Right now, the S2 watch shows a 83 which is really high, probably because I'm frustrated with the poor functionality of this watch and rehashing it is stressing me out.  The S3 shows 29.  Calm.Sleep tracking is too sensitive to what it thinks is wake-up.  If I get up to get a drink of water in the middle of the night, it will think I woke up and slept for 2 hours, when I was in bed for much longer.  I don't think it's ever resumed tracking my sleep if it thought I woke up.  The S2 is better.  The S2 thought I slept 11 hours last night, I really only slept 9.  The S3 thought I only slept 1.5 hours.  I think the sleep feature would be better if I could tell it I was asleep.Conclusions:The features of the watch are a little lackluster.  Messages, calls, notifications and the like are better handled on the Samsung watch, but I would expect it to be considering I have a Samsung phone.  But, if you don't have a smart watch and you're looking for one, I think this would be a reasonable start for anyone."
B07L1GWR66,Watch A,Jeff G,5.0 out of 5 stars,5.0 out of 5 starsNice Upgrade!,10-Oct-23,"I got this as an upgrade for my TOZO S2 smart watch and it's been a really nice upgrade with some great new features. The watch is also comfortable to wear and has great battery life.The first thing I noticed with this watch was that it uses a new, completely redesigned app. After pairing my watch it had me install a firmware update which was done after just a few minutes.I've been using this for a few weeks and I've been noticing the battery life to be really good. With the default settings out of the box the battery life was right around a week. This included the default wake gesture that turns the screen on whenever you turn your arm to look at the screen. I found the gesture to be pretty accurate - it turns on every time you move to look at it, but there are lots of times when you move your arm for other reasons and tends to use a bit more battery life than necessary. There's also a ""do not disturb"" mode that will disable this during certain scheduled hours that you set, like when you're sleeping. For the second round, after recharging the watch for the first time, I disabled the wake gesture, since it's easy enough to just hit the button when I want the time. This extended the battery life to what's looking like will be 2 weeks or maybe even more (right now I'm still at 39% after 12 days). So the battery life is shaping up to really be very good.My favorite new feature that the S2 didn't have was the speaker and microphone for answering (and making) calls right from the watch. Whenever you receive a call the watch vibrates and shows a button for accepting the call straight from the watch. You still have the option of picking up your phone and taking the call that way if you want. I found that the call quality was actually pretty decent. When I answered a couple of calls from my wife on the watch I found we were able to hear each other well. You also have the option of adding favorite contacts to a quick call list you can access directly from the watch, as well as a list of recent phone numbers or contacts, so you can easily initiate a call to those numbers directly from the watch. I found this to be pretty handy.Another note is that the screen resolution appears to be a bit better than what I had on the S2 watch and it's very responsive. Lots of other improvements to the software on the watch and it has some other features like alarms, timers, stopwatch, etc. The step tracker seems to be accurate. It has a pulse monitor which seems to be pretty good but I haven't benchmarked it. It also measures blood oxygen level which is pretty cool. It also has activty/workout tracking, but I haven't used those much. I believe it uses the GPS on your phone to show your walking/running/biking activities on a map. I haven't done much of that yet.Another plus is that the charger for the S3 appears to be identical to the one I used for the S2. So now I have a second charger which is pretty convenient.Overall I've been really happy with this watch and it's been a nice step up from my previous S2."
B07L1GWR66,Watch A,Shamly Mackey,5.0 out of 5 stars,5.0 out of 5 starsBest bang for the buck!,11-Sep-23,"Wow! Where do I even begin? I recently purchased the TOZO Smart Watch, and it has been an absolutely transformative experience! For the price, the array of features it offers is just mind-blowing!Firstly, the health monitoring capabilities of this watch are top-notch. It accurately tracks my heart rate in real time, providing detailed insights that help me optimize my workouts. The sleep tracker is another stellar feature - it doesn’t just track the duration, but delves deep into the quality of my sleep, giving me helpful data to improve my sleep patterns.The exercise tracking features are thorough and precise. From counting steps and calories to measuring the distance covered, this watch is like having a personal fitness coach on your wrist. It even measures blood oxygen saturation, ensuring that I’m always aware of my physical state, making my workouts safer and more effective.Connectivity is seamless with the TOZO Smart Watch. It syncs effortlessly via Bluetooth to my smartphone, opening up a world of convenient features. I can control my music, check weather updates, and even use the mobile search function directly from the watch. The compatibility is impressive, working harmoniously with my device, and the TOZO Health app is user-friendly and a breeze to navigate.The battery life has also been exceptional. It lasts up to 10 days on a single charge, ensuring that I’m never left without my watch when I need it most. Plus, its IP68 waterproof rating means that I don’t have to worry about water damage, be it while swimming or sweating it out during a workout. It’s the durable companion that has supported my active lifestyle wonderfully.In conclusion, purchasing the TOZO Smart Watch has been one of my best decisions. It offers an incredible range of features at an unbeatable price, and it has genuinely enriched my pursuit of a healthier, more active lifestyle. I wholeheartedly recommend it to anyone in search of a reliable, feature-packed, and affordable smartwatch!"
B07L1GWR66,Watch A,hardwear31,4.0 out of 5 stars,"4.0 out of 5 starsComfortable design and excellent value, but screen/button input could be better",12-Jan-23,"I am pleasantly surprised by the set of features offered by this smartwatch. I've been wearing it for a couple of weeks and the size and weight of it on my wrist feels natural. I love the strap it came with and how it tucks away the extra length. Battery life is excellent even with continuous health monitoring. The software handles pretty much anything you'll actually use on your wrist - calls, timers, music control, etc. - without being a miniature version of your phone. If you're used to fitness trackers and want some more ""smart"" features, this could be a great option except for a couple of key points on usability that I'll note below.It's overall an excellent gadget but here are some things I don't like about it. Sleep detection has been inconsistent - it sometimes does not recognize a full night of sleep but it also seems sensitive enough to record short naps. Personally, I think sleep tracking is the most important health monitoring feature. Second thing I disliked is that although this device is waterproof the screen does not work well when wet. Instead of becoming somewhat unresponsive to input when wet, it actually starts doing random things like adjusting settings and making calls. Related to that, once you wake the device, there's no way to turn off the display manually until it times out - during which time, the touch input is extremely sensitive including when a sweaty sleeve brushes up against it, or you're actually trying to dry the display to use the screen. Lately, the screen wake gesture expects a sort of aggressive movement that doesn't feel natural to me - I end up using the button on the side often.I would recommend adding a double press feature to put the screen back to sleep using the button. Maybe even turning off the wake gesture if you long press on the second press, or a setting where double pressing is required to wake the screen. This way you can feel more comfortable with the fitness tracking aspect of this smartwatch when you're out doing activities - especially if you're using included features like timers, stopwatch, music controls, etc.Overall, for the price, this device provides a lot of value. With a little refinement, it could become really amazing."
